week,statefips,spend_all,stayathome_advisory,new_case_rate,gps_away_from_home
8,5,0.0220271428571428,0,,0.0055476
8,16,-0.0174114285714285,0,,0.0150714285714285
8,19,-0.0341412857142857,0,,0.0154285714285714
8,20,-0.0125571428571428,0,,0.0118657142857142
8,22,-0.0504,0,,-0.0020814285714285
8,29,-0.01934,0,,0.0158571428571428
8,30,0.0671828571428571,0,,0.0075899999999999
8,31,-0.0238285714285714,0,0.0160314285714285,0.0105
8,38,0.0038578571428571,0,,0.0108814285714285
8,46,-0.0352628571428571,0,,0.0052468571428571
8,48,-0.0090428571428571,0,0.0033778571428571,0.0096444285714285
8,49,0.0137042857142857,0,0.0,0.00864
8,56,-0.0343857142857142,0,,0.0002594285714285
9,5,-0.0024171428571428,0,,0.0262857142857142
9,16,-0.0168957142857142,0,,0.0213714285714285
9,19,-0.057,0,,0.0236
9,20,-0.0046642857142857,0,,0.0312142857142857
9,22,-0.0028157142857142,0,,0.0141628571428571
9,29,0.0042142857142857,0,,0.0327571428571428
9,30,0.0630571428571428,0,,0.01293
9,31,-0.0371742857142857,0,0.0052814285714285,0.0224285714285714
9,38,0.0201214285714285,0,,0.0112
9,46,-0.0532,0,,0.0165142857142857
9,48,0.0003337142857142,0,0.0023229999999999,0.0214428571428571
9,49,0.0066408571428571,0,0.0025457142857142,0.0093171428571428
9,56,-0.0143921428571428,0,,0.0065447142857142
10,5,0.0471057142857142,0,0.1179333333333333,0.0071671428571428
10,16,0.0456142857142857,0,0.2239999999999999,0.0111828571428571
10,19,-0.0277871428571428,0,0.11715,0.0147471428571428
10,20,-0.0131992857142857,0,0.0129142857142857,0.0113999999999999
10,22,-0.0013237142857142,0,0.16904,0.0107357142857142
10,29,0.0229642857142857,0,0.00296,0.0138157142857142
10,30,0.0181742857142857,0,0.187,0.0013914285714285
10,31,-0.0058057142857142,0,0.0622857142857142,-0.0028201428571428
10,38,0.0363,0,0.0,0.0030942857142857
10,46,0.0070528571428571,0,0.19325,0.0023614285714285
10,48,0.01158,0,0.0126514285714285,-0.0027714285714285
10,49,0.0482428571428571,0,0.0248171428571428,0.0021728571428571
10,56,0.0223615714285714,0,0.0671333333333333,0.0066957142857142
11,5,-0.0723571428571428,0,0.2501428571428571,-0.0697428571428571
11,16,-0.0316828571428571,0,0.1645142857142857,-0.0531571428571428
11,19,-0.1137714285714285,0,0.1158285714285714,-0.0685
11,20,-0.0905571428571428,0,0.1239571428571428,-0.0714428571428571
11,22,-0.0636785714285714,0,0.9997142857142856,-0.0672
11,29,-0.1005142857142857,0,0.0788871428571428,-0.0649714285714285
11,30,-0.0433185714285714,0,0.1718857142857142,-0.0709142857142857
11,31,-0.0921857142857143,0,0.1604285714285714,-0.0960428571428571
11,38,-0.0166857142857142,0,0.2185,-0.0785142857142857
11,46,-0.1306,0,0.0840285714285714,-0.0888285714285714
11,48,-0.06776,0,0.0945142857142857,-0.0876
11,49,-0.0431142857142857,0,0.2958571428571429,-0.0962142857142857
11,56,-0.0389111428571428,0,0.3753428571428571,-0.0641571428571428
12,5,-0.1964285714285714,0,1.133,-0.1368571428571428
12,16,-0.1648571428571428,1,0.9718571428571428,-0.1286714285714285
12,19,-0.3264285714285714,0,0.5891428571428571,-0.1665714285714285
12,20,-0.2387142857142856,0,0.5892857142857143,-0.156
12,22,-0.2765714285714286,1,4.895714285714285,-0.1782857142857143
12,29,-0.2807142857142857,0,0.9024285714285716,-0.1601428571428571
12,30,-0.1592857142857142,1,0.8630000000000001,-0.1379999999999999
12,31,-0.2469999999999999,0,0.3238571428571428,-0.163
12,38,-0.2247142857142857,0,0.7367142857142858,-0.1697142857142857
12,46,-0.2767142857142857,0,0.4822857142857142,-0.1517142857142857
12,48,-0.2425714285714286,0,0.5371428571428571,-0.193
12,49,-0.2218571428571428,0,1.3098571428571428,-0.1735714285714285
12,56,-0.2212857142857142,0,0.8675714285714285,-0.1447142857142857
13,5,-0.2168571428571428,0,1.5285714285714287,-0.1444285714285714
13,16,-0.2382857142857142,1,4.48,-0.183
13,19,-0.331,0,1.762857142857143,-0.1791428571428571
13,20,-0.2947142857142856,1,1.73,-0.1854285714285714
13,22,-0.2934285714285715,1,16.494285714285716,-0.2044285714285714
13,29,-0.2924285714285713,0,2.711428571428572,-0.1815714285714285
13,30,-0.2431428571428571,1,1.8814285714285712,-0.1805714285714285
13,31,-0.2617142857142857,0,1.127,-0.1748571428571428
13,38,-0.2398571428571428,0,1.6971428571428573,-0.193
13,46,-0.319,0,1.6085714285714283,-0.1818571428571428
13,48,-0.2944285714285714,1,1.5357142857142858,-0.231
13,49,-0.265,0,2.9285714285714284,-0.201
13,56,-0.2517142857142857,0,2.11,-0.1615714285714285
14,5,-0.1865714285714285,0,2.11,-0.1518571428571428
14,16,-0.2299999999999999,1,4.617142857142857,-0.175
14,19,-0.323142857142857,0,2.761428571428572,-0.1792857142857142
14,20,-0.2655714285714285,1,2.5557142857142856,-0.1934285714285714
14,22,-0.2641428571428571,1,29.65714285714285,-0.2134285714285714
14,29,-0.2785714285714286,1,3.888571428571428,-0.1918571428571428
14,30,-0.3034285714285714,1,1.5757142857142856,-0.1767142857142857
14,31,-0.2505714285714285,0,2.2728571428571427,-0.1851428571428571
14,38,-0.2184285714285714,0,2.042857142857143,-0.2141428571428571
14,46,-0.289,0,4.291428571428572,-0.1895714285714285
14,48,-0.2934285714285714,1,2.8114285714285714,-0.2428571428571428
14,49,-0.2695714285714286,0,3.8142857142857136,-0.2088571428571428
14,56,-0.2341428571428571,0,3.092857142857143,-0.1658571428571428
15,5,-0.0405914285714285,0,2.3742857142857146,-0.1455714285714285
15,16,-0.1875714285714285,1,2.365714285714286,-0.1617142857142857
15,19,-0.2945714285714285,0,3.8814285714285712,-0.1942857142857143
15,20,-0.2135714285714285,1,2.5585714285714287,-0.1945714285714286
15,22,-0.2098571428571428,1,15.62857142857143,-0.2067142857142857
15,29,-0.2305714285714285,1,3.732857142857143,-0.1902857142857143
15,30,-0.2622857142857143,1,0.922,-0.1794285714285714
15,31,-0.2019999999999999,0,3.61,-0.1977142857142857
15,38,-0.1279571428571428,0,2.531428571428571,-0.2124285714285714
15,46,-0.2584285714285714,0,11.921428571428567,-0.2048571428571428
15,48,-0.2441428571428572,1,3.0028571428571427,-0.2332857142857143
15,49,-0.2631428571428572,0,3.128571428571429,-0.2031428571428571
15,56,-0.1724285714285714,0,3.0957142857142856,-0.1787142857142857
16,5,-0.0955999999999999,0,3.908571428571429,-0.1358571428571428
16,16,-0.1518571428571428,1,1.7757142857142856,-0.1431428571428571
16,19,-0.2567142857142857,0,8.301428571428572,-0.1651428571428571
16,20,-0.1725714285714286,1,4.26,-0.1748571428571428
16,22,-0.1302857142857142,1,10.037142857142856,-0.1914285714285714
16,29,-0.1698571428571428,1,3.0871428571428576,-0.1725714285714285
16,30,-0.183,1,0.4315714285714285,-0.1424285714285714
16,31,-0.1609999999999999,0,7.351428571428571,-0.1742857142857143
16,38,-0.0306142857142857,0,5.597142857142858,-0.1834285714285714
16,46,-0.2552857142857143,0,11.67,-0.171
16,48,-0.2055714285714285,1,2.771428571428572,-0.2168571428571428
16,49,-0.2198571428571429,0,4.014285714285714,-0.1862857142857143
16,56,-0.1292857142857142,0,1.522857142857143,-0.1507142857142857
17,5,-0.0468,0,3.8171428571428576,-0.111
17,16,-0.1457142857142857,1,1.477142857142857,-0.1187142857142857
17,19,-0.2422857142857143,0,13.742857142857142,-0.1448571428571428
17,20,-0.1379999999999999,1,7.567142857142856,-0.1521428571428571
17,22,-0.1362857142857143,1,7.798571428571429,-0.1651428571428571
17,29,-0.1328571428571428,1,3.0371428571428574,-0.1508571428571428
17,30,-0.1701428571428571,0,0.1602857142857142,-0.1085142857142857
17,31,-0.1472857142857143,0,15.157142857142857,-0.1535714285714285
17,38,-0.0388857142857142,0,6.3342857142857145,-0.1505714285714285
17,46,-0.233,0,8.384285714285713,-0.1364285714285714
17,48,-0.1972857142857143,1,3.075714285714286,-0.1902857142857143
17,49,-0.1592857142857143,0,4.642857142857143,-0.1528571428571428
17,56,-0.1128714285714285,0,2.3485714285714288,-0.1207142857142857
18,5,-0.0004285714285714,0,1.9328571428571428,-0.0984571428571428
18,16,-0.0950714285714285,0,1.3728571428571428,-0.1015285714285714
18,19,-0.2041428571428571,0,16.385714285714286,-0.1395714285714286
18,20,-0.0924,1,10.017142857142858,-0.1391428571428571
18,22,-0.0819857142857142,1,7.839999999999999,-0.1461428571428571
18,29,-0.0884571428571428,1,3.8485714285714288,-0.1311428571428571
18,30,-0.0826571428571428,0,0.0706571428571428,-0.0920857142857142
18,31,-0.1079428571428571,0,20.757142857142856,-0.1518571428571428
18,38,-0.00527,0,5.638571428571429,-0.1385714285714285
18,46,-0.1864285714285714,0,8.137142857142857,-0.1301428571428571
18,48,-0.1287142857142857,0,3.651428571428572,-0.1727142857142857
18,49,-0.1077142857142857,0,4.851428571428571,-0.1407142857142857
18,56,-0.0511571428571428,0,1.917142857142857,-0.1092857142857142
19,5,-0.0046031428571428,0,3.1357142857142857,-0.0931857142857142
19,16,-0.1227142857142857,0,1.3785714285714286,-0.0877571428571428
19,19,-0.2142857142857142,0,12.285714285714286,-0.1367142857142857
19,20,-0.1208571428571428,1,7.598571428571428,-0.132
19,22,-0.1097714285714285,1,7.562857142857142,-0.1358571428571428
19,29,-0.1032571428571428,1,2.74,-0.1201428571428571
19,30,-0.1072142857142857,0,0.0802571428571428,-0.0781857142857142
19,31,-0.1134285714285714,0,16.7,-0.1442857142857143
19,38,-0.0009488571428571,0,6.112857142857143,-0.1272857142857142
19,46,-0.2028571428571428,0,13.662857142857144,-0.1288571428571428
19,48,-0.1315714285714286,0,4.122857142857144,-0.1582857142857143
19,49,-0.1408571428571428,0,4.552857142857143,-0.1238571428571428
19,56,-0.0887999999999999,0,1.774285714285714,-0.0969714285714285
20,5,0.0404571428571428,0,4.384285714285714,-0.0898714285714285
20,16,-0.0648428571428571,0,1.53,-0.0878571428571428
20,19,-0.1614285714285714,0,11.485714285714284,-0.1248571428571428
20,20,-0.0739714285714285,1,5.444285714285715,-0.1063428571428571
20,22,-0.0637571428571428,0,9.099999999999998,-0.1245714285714285
20,29,-0.0700571428571428,1,2.7528571428571427,-0.1119857142857142
20,30,-0.0751285714285714,0,0.1681428571428571,-0.0655428571428571
20,31,-0.0727857142857143,0,14.671428571428573,-0.1341428571428571
20,38,0.0427428571428571,0,8.788571428571428,-0.0858428571428571
20,46,-0.1467142857142857,0,7.181428571428572,-0.1037714285714285
20,48,-0.1328571428571428,0,4.091428571428572,-0.1528571428571428
20,49,-0.0686285714285714,0,4.844285714285713,-0.1184285714285714
20,56,-0.0428571428571428,0,2.2842857142857143,-0.0728142857142857
